Tag  	Molecule                                     	Date           	Cat Link                                 Metadata Link                           
045515	C2H5NH2                                      	January 2013   	/site/vorhersagen/catalog/c045515.cat    /cgi-bin/cdmsinfo?file=e045515.cat      
045514	HSiO                                         	December 2012  	/site/vorhersagen/catalog/c045514.cat    /cgi-bin/cdmsinfo?file=e045514.cat      
061512	HSiS                                         	December 2012  	/site/vorhersagen/catalog/c061512.cat    /cgi-bin/cdmsinfo?file=e061512.cat      
021502	H2F+                                         	November 2012  	/site/vorhersagen/catalog/c021502.cat    /cgi-bin/cdmsinfo?file=e021502.cat      
046519	H2SiO                                        	November 2012  	/site/vorhersagen/catalog/c046519.cat    /cgi-bin/cdmsinfo?file=e046519.cat      
062513	H2SiS                                        	November 2012  	/site/vorhersagen/catalog/c062513.cat    /cgi-bin/cdmsinfo?file=e062513.cat      
034504	CH318OH, vt   2                              	September 2012 	/site/vorhersagen/catalog/c034504.cat    /cgi-bin/cdmsinfo?file=e034504.cat      
049512	HSO                                          	September 2012 	/site/vorhersagen/catalog/c049512.cat    /cgi-bin/cdmsinfo?file=e049512.cat      
052536	AlCCH                                        	September 2012 	/site/vorhersagen/catalog/c052536.cat    /cgi-bin/cdmsinfo?file=e052536.cat      
059507	AlS                                          	September 2012 	/site/vorhersagen/catalog/c059507.cat    /cgi-bin/cdmsinfo?file=e059507.cat      
077509	ScS                                          	September 2012 	/site/vorhersagen/catalog/c077509.cat    /cgi-bin/cdmsinfo?file=e077509.cat      
105502	YO                                           	September 2012 	/site/vorhersagen/catalog/c105502.cat    /cgi-bin/cdmsinfo?file=e105502.cat      
121502	YS                                           	September 2012 	/site/vorhersagen/catalog/c121502.cat    /cgi-bin/cdmsinfo?file=e121502.cat      
047511	a-CH313CH2OH                                 	August 2012    	/site/vorhersagen/catalog/c047511.cat    /cgi-bin/cdmsinfo?file=e047511.cat      
047512	a-13CH3CH2OH                                 	August 2012    	/site/vorhersagen/catalog/c047512.cat    /cgi-bin/cdmsinfo?file=e047512.cat      
040514	c-C3D2                                       	July 2012      	/site/vorhersagen/catalog/c040514.cat    /cgi-bin/cdmsinfo?file=e040514.cat      
041506	HCCO                                         	July 2012      	/site/vorhersagen/catalog/c041506.cat    /cgi-bin/cdmsinfo?file=e041506.cat      
041507	HNCN                                         	July 2012      	/site/vorhersagen/catalog/c041507.cat    /cgi-bin/cdmsinfo?file=e041507.cat      
044504	c-C2H4O                                      	July 2012      	/site/vorhersagen/catalog/c044504.cat    /cgi-bin/cdmsinfo?file=e044504.cat      
045513	c-C13CH4O                                    	July 2012      	/site/vorhersagen/catalog/c045513.cat    /cgi-bin/cdmsinfo?file=e045513.cat      
046518	c-C2H418O                                    	July 2012      	/site/vorhersagen/catalog/c046518.cat    /cgi-bin/cdmsinfo?file=e046518.cat      
039508	c-C3HD                                       	June 2012      	/site/vorhersagen/catalog/c039508.cat    /cgi-bin/cdmsinfo?file=e039508.cat      
039509	c-13CC2H2                                    	June 2012      	/site/vorhersagen/catalog/c039509.cat    /cgi-bin/cdmsinfo?file=e039509.cat      
039510	c-CC13CH2                                    	June 2012      	/site/vorhersagen/catalog/c039510.cat    /cgi-bin/cdmsinfo?file=e039510.cat      
018505	H2O+                                         	May 2012       	/site/vorhersagen/catalog/c018505.cat    /cgi-bin/cdmsinfo?file=e018505.cat      
018506	OD+                                          	May 2012       	/site/vorhersagen/catalog/c018506.cat    /cgi-bin/cdmsinfo?file=e018506.cat      
019505	18OH+                                        	May 2012       	/site/vorhersagen/catalog/c019505.cat    /cgi-bin/cdmsinfo?file=e019505.cat      
038508	c-C3H2                                       	May 2012       	/site/vorhersagen/catalog/c038508.cat    /cgi-bin/cdmsinfo?file=e038508.cat      
051506	HC3N, (1,0,0,0)                              	April 2012     	/site/vorhersagen/catalog/c051506.cat    /cgi-bin/cdmsinfo?file=e051506.cat      
051525	HC3N, (0,0,0,4)/(0,1,0,1)                    	April 2012     	/site/vorhersagen/catalog/c051525.cat    /cgi-bin/cdmsinfo?file=e051525.cat      
051526	HC3N, (0,0,2,0)                              	April 2012     	/site/vorhersagen/catalog/c051526.cat    /cgi-bin/cdmsinfo?file=e051526.cat      
075514	HC5N, v11 = 5                                	April 2012     	/site/vorhersagen/catalog/c075514.cat    /cgi-bin/cdmsinfo?file=e075514.cat      
075513	HC5N, v10 = v11 = 1                          	March 2012     	/site/vorhersagen/catalog/c075513.cat    /cgi-bin/cdmsinfo?file=e075513.cat      
083501	AA-n-C4H9CN                                  	March 2012     	/site/vorhersagen/catalog/c083501.cat    /cgi-bin/cdmsinfo?file=e083501.cat      
083502	GA-n-C4H9CN                                  	March 2012     	/site/vorhersagen/catalog/c083502.cat    /cgi-bin/cdmsinfo?file=e083502.cat      
083503	AG-n-C4H9CN                                  	March 2012     	/site/vorhersagen/catalog/c083503.cat    /cgi-bin/cdmsinfo?file=e083503.cat      
004501	H2D+                                         	February 2012  	/site/vorhersagen/catalog/c004501.cat    /cgi-bin/cdmsinfo?file=e004501.cat      
005501	HD2+                                         	February 2012  	/site/vorhersagen/catalog/c005501.cat    /cgi-bin/cdmsinfo?file=e005501.cat      
070505	CH3CH(NH2)CN                                 	February 2012  	/site/vorhersagen/catalog/c070505.cat    /cgi-bin/cdmsinfo?file=e070505.cat      
039501	HCCN                                         	January 2012   	/site/vorhersagen/catalog/c039501.cat    /cgi-bin/cdmsinfo?file=e039501.cat      
040510	H13CCN                                       	January 2012   	/site/vorhersagen/catalog/c040510.cat    /cgi-bin/cdmsinfo?file=e040510.cat      
040511	HC13CN                                       	January 2012   	/site/vorhersagen/catalog/c040511.cat    /cgi-bin/cdmsinfo?file=e040511.cat      
040512	DCCN                                         	January 2012   	/site/vorhersagen/catalog/c040512.cat    /cgi-bin/cdmsinfo?file=e040512.cat      
040513	HCC15N                                       	January 2012   	/site/vorhersagen/catalog/c040513.cat    /cgi-bin/cdmsinfo?file=e040513.cat      
049510	NaCN, NaNC                                   	January 2012   	/site/vorhersagen/catalog/c049510.cat    /cgi-bin/cdmsinfo?file=e049510.cat      
050513	Na13CN, NaN13C                               	January 2012   	/site/vorhersagen/catalog/c050513.cat    /cgi-bin/cdmsinfo?file=e050513.cat      
003501	HD                                           	December 2011  	/site/vorhersagen/catalog/c003501.cat    /cgi-bin/cdmsinfo?file=e003501.cat      
043515	H2N13CN                                      	December 2011  	/site/vorhersagen/catalog/c043515.cat    /cgi-bin/cdmsinfo?file=e043515.cat      
